Date,Ticker,Predicted,Actual,Result,Reason
2026-08-31,7203.T,0,,,
2026-08-31,9984.T,0,,,
2026-08-31,7203.T,0,,,
2026-08-31,9984.T,0,,,
2026-08-31,7203.T,0,,,
2026-08-31,6758.T,0,,,
2026-08-31,1928.T,0,,,
2026-08-31,5401.T,0,,,
2026-08-31,8411.T,0,,,
2026-08-31,2503.T,0,,,
2026-08-31,8031.T,0,,,
2026-08-31,8058.T,0,,,
2026-08-31,9201.T,0,,,
2026-08-31,4901.T,0,,,
2026-08-31,7203.T,0,,,
2026-08-31,9984.T,0,,,
2026-09-01,7203.T,0,,,
2026-09-01,6758.T,0,,,
2026-09-01,1928.T,0,,,
2026-09-01,5401.T,0,,,
2026-09-01,8411.T,0,,,
2026-09-01,2503.T,0,,,
2026-09-01,8031.T,0,,,
2026-09-01,8058.T,0,,,
2026-09-01,9201.T,0,,,
2026-09-01,4901.T,0,,,
2026-09-01,7203.T,0,,,
2026-09-01,6758.T,0,,,
2026-09-01,1928.T,0,,,
2026-09-01,5401.T,0,,,
2026-09-01,8411.T,0,,,
2026-09-01,2503.T,0,,,
2026-09-01,8031.T,0,,,
2026-09-01,8058.T,0,,,
2026-09-01,9201.T,0,,,
2026-09-01,4901.T,0,,,
2026-09-01,7203.T,1,,,
2026-09-01,9984.T,0,,,
2026-09-01,7203.T,0,,,
2026-09-01,6758.T,0,,,
2026-09-01,1928.T,0,,,
2026-09-01,5401.T,0,,,
2026-09-01,8411.T,0,,,
2026-09-01,2503.T,0,,,
2026-09-01,8031.T,0,,,
2026-09-01,8058.T,0,,,
2026-09-01,9201.T,0,,,
2026-09-01,4901.T,0,,,
2026-09-02,7203.T,0,,,
2026-09-02,6758.T,0,,,
2026-09-02,1928.T,0,,,
2026-09-02,5401.T,0,,,
2026-09-02,8411.T,0,,,
2026-09-02,2503.T,0,,,
2026-09-02,8031.T,0,,,
2026-09-02,8058.T,0,,,
2026-09-02,9201.T,0,,,
2026-09-02,4901.T,0,,,
2026-09-02,7203.T,0,,,
2026-09-02,9984.T,1,,,
2026-09-02,7203.T,0,,,
2026-09-02,6758.T,0,,,
2026-09-02,1928.T,0,,,
2026-09-02,5401.T,0,,,
2026-09-02,8411.T,0,,,
2026-09-02,2503.T,0,,,
2026-09-02,8031.T,0,,,
2026-09-02,8058.T,0,,,
2026-09-02,9201.T,0,,,
2026-09-02,4901.T,0,,,
2026-09-03,7203.T,0,,,
2026-09-03,9984.T,0,,,
2026-09-04,7203.T,0,,,
2026-09-04,9984.T,0,,,
2026-09-07,7203.T,0,,,
2026-09-07,9984.T,0,,,
2026-09-08,7203.T,0,,,
2026-09-08,9984.T,1,,,
2026-09-09,7203.T,0,,,
2026-09-09,9984.T,0,,,
2026-09-10,7203.T,0,,,
2026-09-10,9984.T,0,,,
2026-09-11,7203.T,0,,,
2026-09-11,9984.T,0,,,
2026-09-14,7203.T,0,,,
2026-09-14,9984.T,1,,,
2026-09-15,7203.T,0,,,
2026-09-15,9984.T,0,,,
2026-09-16,7203.T,0,,,
2026-09-16,9984.T,0,,,
2026-09-17,7203.T,1,,,
2026-09-17,9984.T,0,,,
2026-09-18,7203.T,0,,,
2026-09-18,9984.T,0,,,
2026-09-21,7203.T,0,,,米10年債利回り変動率(下落寄与: -0.46) / ドル円変動率(下落寄与: -0.27) / 日経平均変動率(下落寄与: -0.24)
2026-09-21,6758.T,0,,,米10年債利回り変動率(下落寄与: -0.38) / ドル円変動率(下落寄与: -0.28) / 日経平均変動率(下落寄与: -0.24)
2026-09-21,1928.T,0,,,米10年債利回り変動率(下落寄与: -0.41) / ドル円変動率(下落寄与: -0.27) / 日経平均変動率(下落寄与: -0.24)
2026-09-21,5401.T,0,,,米10年債利回り変動率(下落寄与: -0.45) / 日経平均変動率(下落寄与: -0.25) / ドル円変動率(下落寄与: -0.22)
2026-09-21,8411.T,0,,,米10年債利回り変動率(下落寄与: -0.34) / ドル円変動率(下落寄与: -0.23) / PER(上昇寄与: +0.22)
2026-09-21,2503.T,0,,,米10年債利回り変動率(下落寄与: -0.40) / ドル円変動率(下落寄与: -0.27) / 日経平均変動率(下落寄与: -0.25)
2026-09-21,8031.T,0,,,米10年債利回り変動率(下落寄与: -0.30) / 日経平均変動率(下落寄与: -0.26) / ドル円変動率(下落寄与: -0.24)
2026-09-21,8058.T,0,,,米10年債利回り変動率(下落寄与: -0.32) / ドル円変動率(下落寄与: -0.24) / 日経平均変動率(下落寄与: -0.24)
2026-09-21,9201.T,0,,,米10年債利回り変動率(下落寄与: -0.50) / 日経平均変動率(下落寄与: -0.26) / ドル円変動率(下落寄与: -0.24)
2026-09-21,4901.T,0,,,米10年債利回り変動率(下落寄与: -0.40) / ドル円変動率(下落寄与: -0.28) / 日経平均変動率(下落寄与: -0.26)
2026-09-21,6501.T,0,,,米10年債利回り変動率(下落寄与: -0.31) / PER(上昇寄与: +0.25) / 日経平均変動率(下落寄与: -0.19)
2026-09-21,8306.T,0,,,米10年債利回り変動率(下落寄与: -0.36) / PER(上昇寄与: +0.26) / ドル円変動率(下落寄与: -0.24)
2026-09-21,9984.T,0,,,米10年債利回り変動率(下落寄与: -0.26) / ドル円変動率(下落寄与: -0.18) / 日経平均変動率(下落寄与: -0.17)
